The Decoder
################################
#          #####     #         #
# ### #x ! ####   !! #     1 ! #
#  !  #  -###     @# #      2D #
###-  #<   #         #         #
##+o     D###o###### #x#########
####   #  -#o#    E# -#       @#
################################
###  ! #                       #
###D - #  #####         #####  #
# +    #     ##   ####  ##     #
# # #<!#    ##          ####   #
# # #|x#   ##     ####  ##     #
# #    #  ##            ##     #
# ######  #####         #####  #
# ######                       #
#S###!## ##  ##          ####  #
#   |< # ##  ##   ####    ##   #
#      # ######           ##   #
#  #   # ##  ##   ####    ##   #
# ##o! # ##  ##           ##   #
# !#-- # ##  ##          ####  #
# ######                       #
#      # #####          ##  ## #
#- #o  # ##  ##   ####  ##  ## #
#   !  # #####          ##  ## #
#x  # -# ##  ##   ####  ##  ## #
###    # ##  ##         ##  ## #
#S#    # #####           ##### #
########                       #
# MMMM##                       #
################################
24  0
24  0
2   30
3   30
4   30
5   30
0   0
0   7
